Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
138С,0,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,6744.4,1790
138С,0,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
104Ж,0,АДЛЕР,МОСКВА КАЗ,2Э,1,,,939.0,11066.0,1790
104Ж,0,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
306С,0,АДЛЕР,МОСКВА КАЗ,2К,1,,,208.0,7774.0,1790
306С,0,АДЛЕР,МОСКВА КАЗ,2К,1,,,208.0,7774.0,1790
306С,0,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,4186.5,1790
102С,0,АДЛЕР,МОСКВА КАЗ,1М,1,,,4164.0,74754.0,1790
102С,0,АДЛЕР,МОСКВА КАЗ,2Т,1,,,939.0,12886.6,1790
102С,0,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
104Ж,1,АДЛЕР,МОСКВА КАЗ,2Б,1,,,347.0,9563.7,1790
104Ж,1,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
306С,1,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,4186.5,1790
044С,1,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,4559.0,1790
102С,1,АДЛЕР,МОСКВА КАЗ,1Т,1,,,3506.0,26376.8,1790
102С,1,АДЛЕР,МОСКВА КАЗ,1Э,1,,,3506.0,26376.8,1790
102С,1,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
138С,2,АДЛЕР,МОСКВА КАЗ,1Э,1,,,7822.0,30118.8,1790
138С,2,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,6744.4,1790
138С,2,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
104Ж,2,АДЛЕР,МОСКВА КАЗ,2Т,1,,,939.0,10155.7,1790
104Ж,2,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
306С,2,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,4186.5,1790
306С,3,АДЛЕР,МОСКВА КАЗ,2К,1,,,208.0,7419.3,1790
044С,3,АДЛЕР,МОСКВА КАЗ,1Л,1,,,384.0,12853.4,1790
044С,3,АДЛЕР,МОСКВА КАЗ,3Э,1,,,188.2,4559.0,1790
044С,3,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
102С,3,АДЛЕР,МОСКВА КАЗ,1Э,1,,,5156.0,29786.1,1790
102С,3,АДЛЕР,МОСКВА КАЗ,1М,1,,,7323.0,80610.8,1790
102С,3,АДЛЕР,МОСКВА КАЗ,2Т,1,,,939.0,10127.2,1790
102С,3,АДЛЕР,МОСКВА КАЗ,2Э,1,,,939.0,10127.2,1790
102С,3,АДЛЕР,МОСКВА КАЗ,,1,,,0.0,0.0,1790
