Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
036С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Э,1,,,810.0,5653.6,284
036С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2195.7,284
036С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2521.9,284
036С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2195.7,284
036С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2066.3,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2066.3,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2066.3,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
080С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
489С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,93.1,2260.6,284
489С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,2228.5,284
489С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,2334.8,284
489С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,93.1,1241.9,284
489С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Д,1,,,93.1,1241.9,284
567С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,1421.9,284
567С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
567С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Л,1,,,384.0,5705.2,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2329.0,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2703.4,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,2329.0,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
306С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Э,1,,,666.0,6441.5,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,372.0,2195.9,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,372.0,3267.1,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2195.9,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2195.9,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,3267.1,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2195.9,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1976.1,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1976.1,284
642Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
259С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ф,1,,,372.0,2498.8,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2334.8,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2334.8,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
360С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,5607.5,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,5607.5,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2084.4,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
271С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Л,1,,,384.0,5142.9,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1423.9,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1944.9,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1423.9,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1944.9,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Д,1,,,188.2,1380.1,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Т,1,,,188.2,1380.1,284
472С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,4467.8,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,218.4,2834.3,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,218.4,2834.3,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1775.2,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2446.9,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1775.2,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
